Word,Word_Count
Mr,1
Speaker,1
President,1
and,1
distinguished,1
Members,1
of,1
the,1
House,1
Senate,1
honored,1
guests,1
fellow,1
citizens,1
Less,1
than,1
3,1
weeks,1
ago,1
I,1
joined,1
you,1
on,1
West,1
Front,1
this,1
very,1
building,1
looking,1
over,1
monuments,1
to,1
our,1
proud,1
past,1
offered,1
my,1
hand,1
in,1
filling,1
next,1
page,1
American,1
history,1
with,1
a,1
story,1
extended,1
prosperity,1
continued,1
peace,1
And,1
tonight,1
Im,1
back,1
offer,1
plans,1
as,1
well,1
The,1
remains,1
sleeves,1
are,1
rolled,1
up,1
America,1
is,1
waiting,1
now,1
we,1
must,1
produce,1
Together,1
can,1
build,1
better,1
It,1
comforting,1
return,1
historic,1
Chamber,1
Here,1
22,1
years,1
first,1
raised,1
be,1
sworn,1
into,1
public,1
life,1
So,1
feel,1
if,1
returning,1
home,1
friends,1
intend,1
months,1
come,1
give,1
what,1
deserve,1
frankness,1
respect,1
best,1
judgment,1
about,1
ways,1
improve,1
Americas,1
future,1
In,1
ask,1
for,1
an,1
honest,1
commitment,1
common,1
mission,1
progress,1
If,1
seize,1
opportunities,1
road,1
before,1
us,1
therell,1
praise,1
enough,1
all,1
people,1
didnt,1
send,1
here,1
bicker,1
its,1
time,1
govern,1
many,1
Presidents,1
have,1
times,1
great,1
crisis,1
war,1
depression,1
loss,1
national,1
spirit,1
8,1
sat,1
that,1
chair,1
Reagan,1
spoke,1
punishing,1
inflation,1
devastatingly,1
high,1
interest,1
rates,1
out,1
work,1
—,1
confidence,1
wane,1
challenge,1
different,1
Were,1
fortunate,1
much,1
changed,1
landscape,1
lies,1
dont,1
propose,1
reverse,1
direction,1
headed,1
right,1
way,1
but,1
cannot,1
rest,1
whose,1
energy,1
drive,1
fueled,1
rise,1
greatness,1
were,1
forwardlooking,1
nation,1
generous,1
yes,1
ambitious,1
not,1
ourselves,1
world,1
Complacency,1
character,1
ever,1
so,1
take,1
strong,1
make,1
it,1
even,1
We,1
address,1
some,1
real,1
problems,1
establish,1
clear,1
priorities,1
substantial,1
cut,1
Federal,1
budget,1
deficit,1
Some,1
find,1
agenda,1
impossible,1
presenting,1
realistic,1
plan,1
tackling,1
My,1
has,1
four,1
broad,1
features,1
attention,1
urgent,1
investment,1
attack,1
no,1
new,1
taxes,1
This,1
represents,1
how,1
There,1
areas,1
which,1
would,1
like,1
spend,1
more,1
understand,1
But,1
until,1
get,1
fiscal,1
house,1
order,1
Next,1
year,1
alone,1
thanks,1
economic,1
growth,1
without,1
any,1
change,1
law,1
Government,1
will,1
80,1
billion,1
does,1
Thats,1
revenues,1
increases,1
job,1
allocate,1
those,1
resources,1
wisely,1
afford,1
increase,1
spending,1
by,1
modest,1
amount,1
invest,1
key,1
still,1
almost,1
40,1
percent,1
1,1
allow,1
meet,1
targets,1
set,1
forth,1
GrammRudmanHollings,1
do,1
recognize,1
above,1
programs,1
preordained,1
initiatives,1
designed,1
immortal,1
pledge,1
team,1
ready,1
Congress,1
form,1
special,1
leadership,1
group,1
negotiate,1
good,1
faith,1
day,1
night,1
thats,1
takes,1
settle,1
business,1
usual,1
continuing,1
resolution,1
or,1
government,1
approve,1
several,1
measures,1
budgeting,1
sensible,1
could,1
save,1
efficiency,1
enacting,1
2year,1
budgets,1
Fortythree,1
Governors,1
lineitem,1
veto,1
should,1
too,1
at,1
least,1
when,1
proposes,1
rescind,1
required,1
vote,1
proposal,1
instead,1
killing,1
inaction,1
honor,1
publics,1
wishes,1
passing,1
constitutional,1
amendment,1
require,1
balanced,1
Such,1
once,1
phased,1
discipline,1
both,1
executive,1
branch,1
Several,1
principles,1
describe,1
kind,1
hope,1
your,1
help,1
ahead,1
luxury,1
taking,1
easy,1
spendthrift,1
approach,1
solving,1
because,1
higher,1
put,1
risk,1
Economic,1
provides,1
jobs,1
enables,1
pay,1
social,1
enhances,1
security,1
Nation,1
low,1
tax,1
create,1
believe,1
giving,1
Americans,1
greater,1
freedom,1
choice,1
families,1
whether,1
housing,1
they,1
live,1
schools,1
their,1
children,1
child,1
care,1
select,1
young,1
You,1
see,1
obligation,1
need,1
provider,1
resort,1
things,1
private,1
sector,1
society,1
free,1
from,1
discrimination,1
bigotry,1
knock,1
down,1
barriers,1
left,1
tolerant,1
stop,1
such,1
being,1
built,1
again,1
family,1
represent,1
moral,1
compass,1
Ill,1
them,1
Benjamin,1
Franklin,1
said,1
sparrow,1
fall,1
ground,1
His,1
notice,1
aid,1
power,1
own,1
lives,1
through,1
opportunity,1
together,1
lets,1
hands,1
Three,1
celebrated,1
bicentennial,1
inaugural,1
200th,1
anniversary,1
Presidency,1
look,1
one,1
thing,1
striking,1
Founding,1
Fathers,1
looked,1
They,1
talk,1
themselves,1
talked,1
posterity,1
think,1
terms,1
bigger,1
actions,1
today,1
ensure,1
tomorrow,1
extend,1
technology,1
longterm,1
educational,1
system,1
boost,1
productivity,1
These,1
keys,1
recommendations,1
National,1
Science,1
Foundation,1
promote,1
basic,1
research,1
keep,1
track,1
double,1
1993,1
permanent,1
credit,1
development,1
Ive,1
asked,1
Vice,1
Quayle,1
Task,1
Force,1
Competitiveness,1
request,1
funding,1
NASA,1
Aeronautics,1
Space,1
Administration,1
space,1
program,1
24,1
current,1
manned,1
station,1
vigorous,1
safe,1
shuttle,1
